order_month,revenue,order_count
2016-09,272.46,2
2016-10,63394.99,273
2016-12,19.62,1
2017-01,180561.78,766
2017-02,330433.01,1674
2017-03,510755.8,2591
2017-04,464257.12,2352
2017-05,711021.91,3601
2017-06,591656.59,3182
2017-07,725874.81,3928
2017-08,849316.26,4234
2017-09,1003731.0,4188
2017-10,1005723.27,4511
2017-11,1558120.08,7361
2017-12,1028006.45,5570
2018-01,1387838.86,7143
2018-02,1296125.78,6612
2018-03,1458282.51,7136
2018-04,1488207.85,6897
2018-05,1489827.29,6803
2018-06,1294317.98,6142
2018-07,1315580.49,6219
2018-08,1219818.21,6398
2018-09,166.46,1
